lat,long,cell_id,Lbar_g,sigma2_g,sigma_g,pcold_g,pwarm_g
29.3684210526316,130,128,293.79555101919675,0.24757844858304,0.49757255609914824,0.0752262443438914,0.08682126696832579
29.3684210526316,132.5,129,293.9274660411823,0.24779967972450767,0.4977948168919677,0.07508484162895927,0.08724547511312217
29.3684210526316,135,130,293.8741554940628,0.237450214438427,0.4872886356549135,0.07112556561085973,0.08088235294117647
29.3684210526316,137.5,131,293.8786562143588,0.23102863667053938,0.48065438380455805,0.06660067873303167,0.07918552036199095
29.3684210526316,140,132,293.93152978805034,0.2325000685499673,0.48218260913264727,0.06631787330316742,0.08342760180995475
29.3684210526316,142.5,133,294.0027512932255,0.23850433254069145,0.48836905362716365,0.06914592760180996,0.08653846153846154
31.2631578947368,97.5,134,268.6983692984056,0.40369430486654545,0.635369423931106,0.13108031674208145,0.12980769230769232
31.2631578947368,100,135,270.20869330637055,0.35421921671205153,0.595163184943467,0.11736425339366516,0.1213235294117647
31.2631578947368,102.5,136,276.18238670110344,0.2631401669438499,0.5129718968363178,0.08979072398190045,0.08356900452488687
31.2631578947368,105,137,283.6342060965111,0.23094723000858544,0.4805696931856871,0.08512443438914027,0.06391402714932126
31.2631578947368,107.5,138,285.2663357311784,0.19607812955046777,0.4428071019648034,0.06744909502262443,0.04991515837104073
31.2631578947368,110,139,285.3565625648153,0.24174622305938004,0.4916769498963522,0.08187217194570136,0.07027714932126697
31.2631578947368,112.5,140,287.2344654253705,0.2818850059385862,0.5309284376811871,0.09530542986425339,0.09035633484162896
31.2631578947368,115,141,288.39731483869423,0.3221969874049812,0.567623984169962,0.1074660633484163,0.10944570135746606
31.2631578947368,117.5,142,288.23606013964024,0.31038247574456285,0.5571198037626762,0.1022341628959276,0.1016685520361991
31.2631578947368,120,143,288.4356509028157,0.34856695227125245,0.5903955896441406,0.11510180995475112,0.11792986425339366
31.2631578947368,122.5,144,290.48080845476096,0.29908289900531504,0.5468847218613033,0.09983031674208145,0.09488122171945701
31.2631578947368,125,145,291.28708526415704,0.26752349855015084,0.5172267380464305,0.08554864253393665,0.08653846153846154
31.2631578947368,127.5,146,291.82718688222616,0.2470509426297245,0.49704219401347055,0.07536764705882353,0.08257918552036199
31.2631578947368,130,147,292.0441926331182,0.24228245233331314,0.49222195433900867,0.07126696832579185,0.08187217194570136
31.2631578947368,132.5,148,292.493390588559,0.25057095401736024,0.5005706284005886,0.07635746606334842,0.0873868778280543
31.2631578947368,135,149,292.7643807581647,0.2551751499686093,0.5051486414597285,0.07805429864253394,0.08922511312217195
31.2631578947368,137.5,150,292.9298850389627,0.25326792577074075,0.5032573156653967,0.07607466063348416,0.09021493212669683
31.2631578947368,140,151,293.0127480986611,0.2491134372929157,0.4991126499027206,0.07480203619909502,0.0889423076923077
31.2631578947368,142.5,152,293.03183618641907,0.24401065050151227,0.493974341946535,0.07197398190045248,0.08922511312217195
33.1578947368421,97.5,153,267.04129822095956,0.7884531381398301,0.8879488375688265,0.2272341628959276,0.23529411764705882
33.1578947368421,100,154,268.1544078360136,0.7548585643722371,0.8688259689789648,0.2272341628959276,0.22412330316742082
33.1578947368421,102.5,155,274.0754196316588,0.6133906733485627,0.7831926157392973,0.198670814479638,0.20517533936651583
33.1578947368421,105,156,280.75805074488954,0.27074468241318866,0.5203313198464884,0.09898190045248868,0.07960972850678733
33.1578947368421,107.5,157,282.87627370864556,0.2291805924371532,0.4787280986501139,0.0804581447963801,0.06122737556561086
33.1578947368421,110,158,283.68535878971153,0.26773374789186216,0.5174299449122192,0.09459841628959276,0.07847850678733032
33.1578947368421,112.5,159,285.8799443687249,0.26214568371113844,0.5120016442465185,0.09205316742081449,0.07607466063348416
33.1578947368421,115,160,287.1279418903598,0.3037535997573853,0.5511384578827586,0.10096153846153846,0.10067873303167421
33.1578947368421,117.5,161,287.13691469447105,0.31192311694713565,0.5585007761383467,0.10407239819004525,0.10562782805429864
